Location,year,counts,offset,x1
b5f1a762,8,1,0.03807,208.29961772444335
f89b93ae,8,0,0.07311,41.58004158004157
352ce11a,8,1,0.04709,123.78637577966589
e27e8033,8,0,0.15753,77.51025226885687
1778258c,8,0,0.02802,101.91203238586012
954f2cb4,8,2,0.03041,486.1585913555333
cb173123,8,8,0.09405,522.4588841704108
ce5d1ed1,8,0,0.07416,105.24296080241483
118e2f5e,8,9,0.311,172.097619591029
bb345b03,8,2,0.05409,434.357107709215
d7a280be,8,2,0.11194,335.203586190243
5b08009a,8,0,0.08642,22.3488657950609
638a036c,8,0,0.01552,250
a8cdc2c2,8,7,0.13987,190.16023935471316
6e97cded,8,2,1.4407,12.74011461246065
c3885694,8,3,0.20411,119.31130096570224
f4cdaee1,8,16,0.36223,183.92901118656368
377480be,8,2,0.16654,157.24530872335092
19deb977,8,1,0.05649,241.37782181925888
211eb2ae,8,1,0.03148,434.51272501551836
ab95b70d,8,0,0.01409,0
f526a4e0,8,0,0.06363,0
ecc34c2e,8,2,0.05312,407.3667656823344
e3e35fdb,8,0,0.00659,290.27576197387515
df31f97d,8,0,0.06947,14.31229426077
e769f6fe,8,1,0.04367,502.94052866913944
5bc8b302,8,0,0.20056,71.73294263153835
79e354b2,8,1,0.0972,30.98964723428425
ff84071f,8,0,0.03846,253.37989948291704
a6484004,8,0,0.00826,122.6993865030675
20760acb,8,4,0.1413,275.4379005446303
52fd31d7,9,6,0.30892,510.72268190920215
3421b03c,9,4,0.06767,56.127305996168175
ff529e8f,9,1,0.00715,136.79890560875515
c304b52e,9,0,0.00463,366.9724770642202
ca72fd20,9,4,0.05582,528.228008120524
6028e7b7,9,2,0.11409,137.19606923994095
fdb23048,9,0,0.02109,217.01388888888889
0f7c71d8,9,0,0.03225,702.0863347174999
34fe95a5,9,6,0.4506,503.73361108810485
11184bca,9,3,0.06999,95.0179960119692
aadc708f,9,1,0.08375,161.70280181339976
45e05b54,9,0,0.25256,16.0953693401668
056f421c,9,2,0.08941,32.174701396639684
525214eb,9,0,0.03913,883.6562622204499
a33682bf,9,1,0.05834,281.79201021886985
be428bac,9,1,0.10139,89.83329916059324
8f3fe004,9,3,0.06564,689.5139082046134
88d245ba,9,0,0.09993,144.55546647270725
72cd92d3,9,3,0.09286,175.46358200750456
a06de818,9,1,0.11005,649.994440309899
d531f652,9,0,0.20564,4.880905896134323
7778c917,9,2,0.09181,21.49151085321298
205e19b2,9,3,0.24178,438.4542110672332
9a312f28,9,0,0.01982,494.7706789010602
0eb837a8,9,1,0.05993,33.41408613493228
0f9ed4e2,9,4,0.36647,132.36824064381676
c2be3453,9,11,4.98743,22.011003527258943
e24cd8b8,9,1,0.0201,322.5806451612903
550e54c5,9,0,0.05985,443.0238938400914
156ec693,9,0,0.03207,407.13297155731294
cf35c6c5,9,0,0.0286,302.99962881405526
14298a4c,9,1,0.04929,637.8953118076215
5e125303,9,1,0.22843,169.34723386141238
21255d80,9,1,0.02046,781.25
55a7fd48,9,0,0.01977,876.8495067981871
a4728441,9,0,0.02101,283.8803045246798
acd4504e,9,1,0.0066,291.4010170383639
8ccec174,9,0,0.02538,300.52592036063106
a4a399e0,9,9,0.55742,299.40237633692516
d4270efc,9,1,0.09204,740.1483849100232
957796e0,9,1,0.03511,596.6418464439896
78ce3bab,9,0,0.00977,274.72527472527474
60760148,9,1,0.02931,361.9245099509778
5eac0b24,9,0,0.10541,373.18308595690905
5cafec9f,9,0,0.00732,271.37042062415196
ad8153f8,9,1,0.06333,200.56271588813337
78eaa11e,9,1,0.07765,135.05515015484664
1f9012d1,9,0,0.05163,98.69695356994559
8d66d502,9,0,0.06624,635.8258094798707
1a1685ad,9,2,0.08423,542.0830001181836
afbc2e22,9,0,0.00857,521.0948718626389
2e23216d,9,0,0.03809,353.5353535353535
eda1ed99,9,1,0.08862,176.81548031299536
f3fb7a0c,9,12,2.76012,58.83708393534565
feb5d49b,9,11,0.36011,435.31222264508665
9bd1560c,9,0,0.00751,812.2948601279837
6a97c123,9,0,0.00649,0
47235d1f,9,1,0.34298,58.8263217045856
14a06ce1,9,0,0.00545,185.87360594795538
89c9d5ba,9,3,0.07709,386.4468989854643
802bcd6f,9,4,0.05122,310.85577103189536
b5f1a762,9,0,0.03766,234.56701987837033
f89b93ae,9,0,0.0722,41.58004158004157
352ce11a,9,1,0.04642,145.02230697524882
e27e8033,9,0,0.15841,77.51025226885687
1778258c,9,0,0.02791,101.91203238586012
954f2cb4,9,3,0.03013,551.9264308820049
cb173123,9,2,0.09222,607.5200218631275
ce5d1ed1,9,0,0.07314,105.24296080241483
118e2f5e,9,5,0.31408,201.03652634344058
bb345b03,9,1,0.05447,471.3325190606663
d7a280be,9,0,0.11053,353.07030050148114
5b08009a,9,1,0.0848,22.3488657950609
638a036c,9,3,0.01551,250
a8cdc2c2,9,0,0.14069,240.20671107845664
6e97cded,9,1,1.48214,14.128328675069104
c3885694,9,6,0.20483,134.00925794968146
f4cdaee1,9,15,0.36338,228.0998418742483
377480be,9,1,0.1649,169.25443565982263
19deb977,9,4,0.05592,259.08007000477846
211eb2ae,9,1,0.03145,466.27892577790715
ab95b70d,9,0,0.01404,0
f526a4e0,9,0,0.06248,0
ecc34c2e,9,1,0.05308,445.01736809197297
e3e35fdb,9,1,0.00667,290.27576197387515
df31f97d,9,0,0.06925,14.31229426077
e769f6fe,9,2,0.04327,525.8395440114797
5bc8b302,9,1,0.20203,71.73294263153835
79e354b2,9,0,0.09506,41.27771307790565
ff84071f,9,1,0.03859,253.37989948291704
a6484004,9,0,0.00837,122.6993865030675
20760acb,9,1,0.14078,303.7464638850407
52fd31d7,10,3,0.3116,530.1451861174114
3421b03c,10,0,0.06704,115.23769464697355
ff529e8f,10,0,0.00677,276.659045468895
c304b52e,10,0,0.00456,366.9724770642202
ca72fd20,10,0,0.05548,599.8869117392986
6028e7b7,10,0,0.11482,154.72608939946414
fdb23048,10,0,0.02102,217.01388888888889
0f7c71d8,10,0,0.03149,702.0863347174999
34fe95a5,10,0,0.45343,517.0491903158012
11184bca,10,0,0.06967,137.88126219285218
aadc708f,10,1,0.08355,173.64310032086243
45e05b54,10,0,0.25322,16.0953693401668
056f421c,10,1,0.08839,54.54356393997936
525214eb,10,0,0.03865,883.6562622204499
